domain,strategy,n,valid_pct,coverage_mean,coverage_ci95
drone,few_shot_generic,40,1.0,0.286375,0.07729501153091382
drone,proposed,40,0.725,0.38155,0.08264497670310283
drone,proposed_with_few_shot,40,0.975,0.358925,0.08183751216094187
drone,zero_shot,40,0.75,0.15785,0.05075050028400629
elevator,few_shot_generic,30,0.9333333333333333,0.356,0.05762671257983245
elevator,proposed,30,0.8666666666666667,0.6452,0.08212362631248478
elevator,proposed_with_few_shot,30,0.9666666666666667,0.7249333333333333,0.07825409956714813
elevator,zero_shot,30,0.5666666666666667,0.2203,0.07372107393209318
smart_factory,few_shot_generic,40,0.95,0.209025,0.050733462835257065
smart_factory,proposed,40,0.65,0.411875,0.07530391929307156
smart_factory,proposed_with_few_shot,40,1.0,0.511275,0.08107791101995025
smart_factory,zero_shot,40,0.575,0.18885,0.047073207242576576
