domain,object,strategy,n,coverage_mean,coverage_ci95,coverage_min,coverage_max
drone,airspace_obstacle,few_shot_generic,10,0.0668,0.05345113217385265,0.0,0.167
drone,airspace_obstacle,proposed,10,0.11660000000000001,0.09791293732699474,0.0,0.333
drone,airspace_obstacle,proposed_with_few_shot,10,0.2167,0.06957680994252163,0.0,0.333
drone,airspace_obstacle,zero_shot,10,0.050100000000000006,0.049998955882431514,0.0,0.167
drone,ground_target,few_shot_generic,10,0.26680000000000004,0.08699142533478675,0.167,0.5
drone,ground_target,proposed,10,0.45,0.11985702267470373,0.0,0.667
drone,ground_target,proposed_with_few_shot,10,0.38330000000000003,0.12935902659566428,0.0,0.667
drone,ground_target,zero_shot,10,0.16670000000000001,0.08426077765287161,0.0,0.333
drone,signal_environment,few_shot_generic,10,0.3286,0.1671653143394951,0.0,0.714
drone,signal_environment,proposed,10,0.5428999999999999,0.13051744179057279,0.286,0.857
drone,signal_environment,proposed_with_few_shot,10,0.3857,0.1914344819792575,0.0,0.857
drone,signal_environment,zero_shot,10,0.31439999999999996,0.12376733975218716,0.0,0.571
drone,weather_environment,few_shot_generic,10,0.4833,0.16471984545349178,0.167,1.0
drone,weather_environment,proposed,10,0.4167,0.18384503977716304,0.0,0.833
drone,weather_environment,proposed_with_few_shot,10,0.45,0.21244226129050267,0.0,0.833
drone,weather_environment,zero_shot,10,0.10020000000000001,0.05345113217385265,0.0,0.167
elevator,building_system,few_shot_generic,10,0.34299999999999997,0.10384794473973312,0.143,0.571
elevator,building_system,proposed,10,0.6856,0.1371042065583693,0.286,1.0
elevator,building_system,proposed_with_few_shot,10,0.7998,0.07474133333333333,0.571,1.0
elevator,building_system,zero_shot,10,0.18589999999999998,0.10276933333333334,0.0,0.429
elevator,elevator_car,few_shot_generic,10,0.3375,0.1036233832470044,0.0,0.5
elevator,elevator_car,proposed,10,0.5375,0.10987126305110195,0.25,0.75
elevator,elevator_car,proposed_with_few_shot,10,0.5625,0.15168910090488813,0.25,1.0
elevator,elevator_car,zero_shot,10,0.0875,0.08207398423915392,0.0,0.375
elevator,passenger,few_shot_generic,10,0.3875,0.09968687086182523,0.125,0.625
elevator,passenger,proposed,10,0.7125,0.16353737255508977,0.0,0.875
elevator,passenger,proposed_with_few_shot,10,0.8125,0.11692887201675686,0.5,1.0
elevator,passenger,zero_shot,10,0.3875,0.1235840919284427,0.25,0.75
smart_factory,conveyor_system,few_shot_generic,10,0.2167,0.06957680994252163,0.0,0.333
smart_factory,conveyor_system,proposed,10,0.4499,0.10939088768875281,0.167,0.833
smart_factory,conveyor_system,proposed_with_few_shot,10,0.6667,0.09736904843372397,0.333,0.833
smart_factory,conveyor_system,zero_shot,10,0.2335,0.11102409576303696,0.0,0.667
smart_factory,factory_equipment,few_shot_generic,10,0.0834,0.07304500413671926,0.0,0.333
smart_factory,factory_equipment,proposed,10,0.5001,0.09744196722152113,0.167,0.667
smart_factory,factory_equipment,proposed_with_few_shot,10,0.3834,0.1464044635870854,0.167,0.833
smart_factory,factory_equipment,zero_shot,10,0.06670000000000001,0.07221567919626441,0.0,0.333
smart_factory,human_worker,few_shot_generic,10,0.1501,0.07616950488074462,0.0,0.333
smart_factory,human_worker,proposed,10,0.1833,0.17852602016886315,0.0,0.833
smart_factory,human_worker,proposed_with_few_shot,10,0.3666,0.16725568123352008,0.0,0.833
smart_factory,human_worker,zero_shot,10,0.1835,0.09041068771629453,0.0,0.5
smart_factory,other_agv,few_shot_generic,10,0.38589999999999997,0.08389545397828312,0.143,0.571
smart_factory,other_agv,proposed,10,0.5142,0.11936913143503874,0.143,0.714
smart_factory,other_agv,proposed_with_few_shot,10,0.6284,0.15156719412854483,0.143,0.857
smart_factory,other_agv,zero_shot,10,0.2717,0.05031179973812196,0.143,0.429
