domain,strategy,n,valid_pct,coverage_mean,coverage_ci95
drone,few_shot_generic,40,0.975,0.275,0.07420460150221524
drone,proposed,40,0.05,0.5102,0.08274352334031486
drone,proposed_with_few_shot,40,1.0,0.6083,0.07431400855206859
drone,zero_shot,40,0.075,0.237,0.05935837782011817
elevator,few_shot_generic,30,1.0,0.5345666666666666,0.060236948486565786
elevator,proposed,30,0.0,0.8392,0.04353452290642055
elevator,proposed_with_few_shot,30,1.0,0.8350333333333333,0.04677845427936118
elevator,zero_shot,30,0.0,0.38756666666666667,0.061923385712875825
smart_factory,few_shot_generic,40,0.975,0.353075,0.05255622355764373
smart_factory,proposed,40,0.0,0.5982,0.06277169568262271
smart_factory,proposed_with_few_shot,40,1.0,0.674325,0.05325456161778598
smart_factory,zero_shot,40,0.025,0.2335,0.059645433242341915
