domain,strategy,n,valid_pct,coverage_mean,coverage_ci95
drone,few_shot_generic,40,1.0,0.275,0.07420460150221524
drone,proposed,40,0.95,0.4643,0.08246633745182302
drone,proposed_with_few_shot,40,1.0,0.6083,0.07431400855206859
drone,zero_shot,40,0.45,0.19535,0.05932760977090013
elevator,few_shot_generic,30,1.0,0.5345666666666666,0.060236948486565786
elevator,proposed,30,0.9333333333333333,0.8088333333333333,0.04627427553121387
elevator,proposed_with_few_shot,30,1.0,0.8350333333333333,0.04677845427936118
elevator,zero_shot,30,0.8,0.35006666666666664,0.0673202049684652
smart_factory,few_shot_generic,40,1.0,0.353075,0.05255622355764373
smart_factory,proposed,40,1.0,0.5732,0.06707999826001862
smart_factory,proposed_with_few_shot,40,1.0,0.674325,0.05325456161778598
smart_factory,zero_shot,40,0.45,0.181075,0.058555092522188455
